Stkcd	Trddt	dayc	ivol	totalv	crate	beta	return	ivol_lag	crate_lag	ivol_current	ivol_lag_rank
000651	200802	16	.021449123	450027.27	.113155	.555171	-.02532	0.030226583	0.193401	0.021449123	2
000538	200802	16	.018383939	18587564	.079932	.245781	.062241	0.030649182	0.303692	0.018383939	3
600166	200802	16	.014134001	10069579	.131825	1.22031	.020559	0.03126953	0.375614	0.014134001	3
000581	200802	16	.024314902	10318240	.132667	.679720	.036818	0.031395465	0.605803	0.024314902	3
600123	200802	16	.017692198	187639.20	.160443	.534833	.003053	0.031642531	0.698954	0.017692198	3
000729	200802	15	.023821759	24304897	.301631	.643303	.046423	0.031655235	0.881459	0.023821759	3
000425	200802	16	.030303005	14117769	.126004	1.10767	.125598	0.032197613	0.454577	0.030303005	3
600089	200802	15	.024967389	25920079	.228370	1.10001	.074717	0.032828379	0.611075	0.024967389	3
600406	200802	15	.016876526	8411878.8	.115732	.519847	.060450	0.032924956	0.288587	0.016876526	3
000024	200802	15	.031354573	33527572	.194686	.466392	-.12428	0.033430732	0.403469	0.031354573	3
600048	200802	15	.022171915	77972252	.115378		-.07841	0.033737786	0.224898	0.022171915	3
000063	200802	16	.019282592	54485101	.079030	.286326	-.04243	0.033966495	0.292739	0.019282592	3
000792	200802	16	.035877852	68565242	.092251	.443813	-.00744	0.034649906	0.224771	0.035877852	3
600188	200802	16	.012964941	567432.00	.234392	.769672	-.02244	0.035394556	0.730763	0.012964941	3
000800	200802	16	.017658080	349912.50	.168773	1.14401	.038647	0.035587793	0.554416	0.01765808	3
000983	200802	16	.028289583	518493.60	.265796	.736775	-.08590	0.03585388	0.369589	0.028289583	3
000895	200802	15	.026421309	28966556	.058018	.065923	-.13796	0.035980505	0.220546	0.026421309	3
601699	200802	16	.019453028	383514.00	.066043		-.07777	0.03673766	0.227498	0.019453028	3
600739	200802	16	.148454073	46367634	.317020	1.81643	.188046	0.037113518	0.31702	0.148454073	3
600383	200802	15	.024463277	33890317	.125663	.456274	-.08288	0.037643027	0.318707	0.024463277	3
000768	200802	16	.013570452	39754514	.284204	.899016	-.04336	0.037677471	0.782472	0.013570452	3
600674	200802	16	.153249645	19460036	.565738	.873037	.368221	0.038312411	0.565738	0.153249645	3
000937	200802	16	.024223225	31910264	.153989	.711687	.114474	0.040383109	0.602491	0.024223225	3
601991	200802	16	.023250222	136106909	.038167		-.00186	0.041710776	0.090351	0.023250222	4
000878	200802	15	.043908611	61992459	.463210	.898309	.146676	0.041980598	0.910703	0.043908611	4
600489	200802	16	.027761165	38056896	.285146	1.23585	-.00358	0.042927657	0.564669	0.027761165	4
600971	200802	16	.019711900	85137.96	.138810		-.08781	0.044011695	0.401614	0.0197119	4
002202	200802	15	.042988105	836000.00	.563071		.298204	0.047990295	1.494952	0.042988105	4
600348	200802	16	.019967875	226118.10	.166241	.728858	-.12767	0.048749886	0.472702	0.019967875	4
600395	200802	16	.031517424	72811.93	.582794	1.08284	.101067	0.05432289	1.812518	0.031517424	4
600362	200802	15	.047027663	78038984	.484145	.935031	.084299	0.055224548	0.909067	0.047027663	4
000039	200802	16	.026100334	27459397	.152805	.488324	.056398	0.059986304	0.431772	0.026100334	4
600010	200802	16	.008631885	48495956	.138509	.882186	.055944	0.068285927	0.524574	0.008631885	4
000629	200802	16	.030214773	43669677	.254962	1.01422	.187500	0.073640722	0.448012	0.030214773	4
000709	200802	16	.022499364	48929349	.151332	.998256	.050608	0.089269479	0.315227	0.022499364	4
000009	200802	16	.019490508	13979450	.179377	1.05126	.068132	0.109677361	0.378689	0.019490508	4
600688	200802	16	.014644374	618003.00	.199685	.778075	-.01932	0.113887462	1.17663	0.014644374	4
600674	200802	16	.038312411	19460036	.565738	.873037	.368221	0.114222321	0.567222	0.038312411	4
600271	200802	16	.020721751	209611.80	.050309	.533334	.077532	0.118566851	0.118356	0.020721751	4
600739	200802	16	.037113518	46367634	.317020	1.81643	.188046	0.122000092	0.47211	0.037113518	4
000623	200802	16	.024353152	31076002	.294061	1.39574	-.04409	0.124496769	0.56256	0.024353152	4
000061	200802	16	.023965779	11699683	.145254	.785754	.013432	0.125391508	0.453201	0.023965779	4
600256	200802	16	.007782006	15805618	.129905	.906163	.041072	0.13753956	0.484076	0.007782006	4
600340	200802	16	.019175859	1332627.3	.493057	1.21176	.149123	0.236326243	1.581578	0.019175859	4
600600	200803	20	.028465999	167206.40	.327060	.647053	-.25603	0.008028085	0.092313	0.028465999	0
601088	200803	21	.030630058	659641518	.268583		-.20635	0.010213241	0.131707	0.030630058	0
002081	200803	21	.021024684	37130.00	.178958		-.23907	0.010577815	0.065708	0.021024684	0
000402	200803	21	.018227361	31690603	.312711	.386631	-.00044	0.010885643	0.144693	0.018227361	0
600900	200803	21	.014451969	132239801	.089197	.408018	-.19346	0.011621557	0.05784	0.014451969	0
600188	200803	21	.033506073	535464.00	.658873	.733098	-.05634	0.012964941	0.234392	0.033506073	0
600085	200803	21	.013801190	9722090.5	.254383	.698386	-.26533	0.013400305	0.196103	0.01380119	0
000768	200803	21	.021072457	26915946	.390330	.980632	-.32295	0.013570452	0.284204	0.021072457	0
601607	200803	21	.019875501	5395758.9	.248150	.888259	-.22168	0.013686908	0.127483	0.019875501	0
600809	200803	20	.025185167	8628178.0	.421773	.685956	-.31228	0.013984622	0.120726	0.025185167	0
600166	200803	20	.027309524	8844352.7	.242326	1.17441	-.12168	0.014134001	0.131825	0.027309524	0
600832	200803	21	.011433419	26745298	.137344	.709876	-.24039	0.014134455	0.116617	0.011433419	0
002024	200803	20	.024576588	79556606	.062352		-.16157	0.014295914	0.043266	0.024576588	0
000002	200803	21	.027019020	1548840.8	.307993	.242903	.101075	0.014380359	0.134114	0.02701902	0
600649	200803	21	.021486340	22311237	.239677	.729709	-.24586	0.014585857	0.169797	0.02148634	0
600688	200803	21	.021519516	479208.00	.243969	.800210	-.22459	0.014644374	0.199685	0.021519516	0
