Trddt	ivol_lag_rank	ivol_lag	and
200802	0	0.0165424985	0.0164378707	0.0427597143	0.0217117386	0.1744719048	0.3034770476	0.1257348213	0.2574453181	35927848.63
200802	1	0.0225048136	0.0222757024	0.0391831364	-0.019427967	0.1828769091	0.3504959545	0.1603780182	0.3114480125	24800539.375
200802	2	0.027251614	0.0274427759	-0.005420409	-0.069587792	0.1621464545	0.3452665	0.1437058571	0.37930081	75123387.883
200802	3	0.0345923518	0.0349598726	0.0198354091	0.0089749291	0.1817084091	0.4570399091	0.1724007983	0.3981871346	24938022.076
200802	4	0.0890575688	0.0707059777	0.076282381	0.0751053658	0.275885619	0.6747896667	0.2473215312	0.4907962731	29738969.534
200803	0	0.0133733318	0.0113913004	-0.192262619	-0.198728862	0.2428352381	0.1345058095	0.2240486541	0.1188664623	51654126.446
200803	1	0.0173100072	0.0173017369	-0.218941227	-0.200230796	0.216304	0.1597157727	0.2137446948	0.1541606092	18654336.07
200803	2	0.0206958407	0.0214065161	-0.187390571	-0.21372697	0.352962381	0.210985381	0.2111775737	0.1564822608	35850851.761
200803	3	0.0264162301	0.0261471308	-0.208691409	-0.166491472	0.2805772273	0.2293832273	0.2164419513	0.1969557965	25038561.769
200803	4	0.065580325	0.0659884199	-0.253572905	-0.270615824	0.3696571905	0.3029041905	0.3649259757	0.308079784	21877856.838
200804	0	0.0160329114	0.0160948319	0.032070381	0.0466175847	0.2542128571	0.2216997619	0.2162153462	0.1770979255	35092873.34
200804	1	0.0207643961	0.0201295063	0.0089497143	0.0582133482	0.311800381	0.231120619	0.3585442556	0.2636601876	14599807.887
200804	2	0.0249414978	0.0255442418	0.0077353182	0.0003618499	0.3464340455	0.2750143636	0.3578036057	0.260060357	29913271.181
200804	3	0.0303799294	0.0306950343	0.0933923333	0.165582898	0.3585574762	0.292597619	0.2701188066	0.2636112298	58919719.235
200804	4	0.086777224	0.0937591931	0.0420295238	-0.009727878	0.5443142381	0.5251867143	0.4866380478	0.3968623417	20704070.48
200805	0	0.0174792423	0.0193863614	-0.071369136	-0.063062619	0.2816236364	0.2661164545	0.2511245262	0.2598807683	59185713.63
200805	1	0.0231066917	0.0227874844	-0.051328273	-0.043473686	0.3585373182	0.2839352727	0.5940779058	0.2290131981	24096849.09
200805	2	0.027051057	0.0267586512	-0.026158455	-0.050380003	0.3505775455	0.3220743182	0.2074483013	0.245617979	21910045.424
200805	3	0.0318431204	0.0323533691	-0.058450091	-0.091933584	0.4399896364	0.4188211364	0.287514419	0.3251507964	30473136.765
200805	4	0.0874016149	0.0796384751	-0.087425682	-0.094309487	0.4949413636	0.5742686818	0.5210960634	0.5370899785	23572303.035
200806	0	0.0158572547	0.015319401	-0.218194864	-0.224021994	0.1878263182	0.2314068182	0.1723789496	0.2275829032	21871394.995
200806	1	0.0217514472	0.0220950006	-0.200593826	-0.188328644	0.2137223043	0.2965740435	0.2353258085	0.3414025821	18453254.106
200806	2	0.0258923521	0.0260460255	-0.217705364	-0.149439278	0.2733118182	0.4162471818	0.2301434698	0.3377151786	20007377.449
200806	3	0.0315931837	0.0309727117	-0.189761913	-0.179558924	0.2688786087	0.4477734783	0.403442804	0.7317061725	16603369.663
200806	4	0.0826927386	0.0890277624	-0.192982455	-0.200184767	0.4212863636	0.5081382727	0.3794541852	0.4685480555	11620834.024
200807	0	0.0146009065	0.0140106299	0.0424167273	0.0340728843	0.2882510909	0.2109292273	0.4184453043	0.2947820379	15711219.783
200807	1	0.0202471259	0.0207267427	0.0472592609	0.0446019172	0.283497913	0.2158846957	0.2425167498	0.1889433462	23086170.672
200807	2	0.024347825	0.023940717	0.0275551364	-0.083300777	0.3731900455	0.2200536818	0.2308462843	0.146852112	43287891.438
200807	3	0.0293761143	0.028890269	-0.010013261	-0.039289167	0.3657743478	0.3305116957	0.2987669364	0.2358821496	17990529.653
200807	4	0.0794979084	0.0732991008	-0.005363591	-0.033831147	0.5250402727	0.4471951364	0.554258458	0.5300872166	15682707.182
200808	0	0.0127109341	0.0125193925	-0.187103913	-0.181869021	0.1877432174	0.2655875217	0.1240170775	0.2182554159	11971826.634
200808	1	0.0172229303	0.017177848	-0.164973957	-0.12640697	0.1286057826	0.2123799565	0.1067809705	0.1582017216	24390475.443
200808	2	0.0211040953	0.0223639525	-0.17636913	-0.158336935	0.2409541739	0.365575087	0.1709005906	0.3149193982	33195716.626
200808	3	0.0278295654	0.0278675732	-0.230540739	-0.206363721	0.2637993913	0.4536447826	0.2818913865	0.4977825392	14368129.103
200808	4	0.0646181199	0.065555097	-0.239407478	-0.18056694	0.2939166522	0.4615608696	0.2802758559	0.3763863622	10147045.724
200809	0	0.0145043212	0.0147702303	-0.036004773	-0.035046574	0.2047664091	0.132974	0.1786511794	0.1156971754	37833696.685
200809	1	0.0190199696	0.018578747	-0.041521087	-0.030357802	0.2100041304	0.1858039565	0.2301103209	0.1993221599	19409308.644
200809	2	0.0241418423	0.0243572821	-0.043428261	-0.035469139	0.2877731739	0.2245177391	0.2721572789	0.2005069121	10707677.357
200809	3	0.0298314396	0.0301555445	0.0126906957	0.0197730661	0.2564453043	0.2313182174	0.1870519779	0.1920348624	11707403.631
200809	4	0.0696583983	0.084154717	-0.035152609	-0.014423825	0.3838625217	0.3689242609	0.3788689225	0.351775672	9443096.4022
200810	0	0.0171011435	0.0167003981	-0.253055273	-0.256279256	0.1104055455	0.1254339545	0.1023639174	0.1269700309	7868109.3686
