Stkcd	Trddt	dayc	ivol	totalv	crate	beta	return	ivol_lag	crate_lag	ivol_current	ivol_lag_rank
000046	200802	16	.110663513	50140864	.132343	.666124	.006818	0.138245925	0.264384	0.110663513	3
600684	200802	16	.040493203	2496975.8	.156292	.914051	-.06839	0.138413166	0.604919	0.040493203	3
600797	200802	16	.127744920	11358218	.640923	.865071	.250671	0.1411913	0.831384	0.12774492	3
600880	200802	16	.100052222	6889858.6	.168753	.804734	.033020	0.143125871	0.418122	0.100052222	3
000830	200802	16	.165662947	8798822.3	.868808	.853151	.177871	0.143169225	0.95014	0.165662947	3
000685	200802	15	.131970551	5658117.3	.303992	1.34520	.045833	0.143583174	0.705602	0.131970551	3
000930	200802	16	.086683482	8940091.0	.381110	.802004	.148699	0.143936297	1.088072	0.086683482	3
000917	200802	16	.062711895	9665033.1	.324649	1.22720	.179339	0.144657858	0.713926	0.062711895	3
600668	200802	16	.063945639	2821487.4	.473694	1.47775	.126374	0.145704241	0.89385	0.063945639	3
002183	200802	15	.123493404	80360.34	.575290		-.02225	0.146166117	0.827051	0.123493404	3
600288	200802	16	.074155653	42705.60	.456302	1.13324	.102342	0.153109698	1.257332	0.074155653	3
600823	200802	16	.083600191	8930894.2	.126652	.691631	-.06976	0.153417358	0.328593	0.083600191	3
600478	200802	16	.073509324	3589702.3	.194328	1.36102	-.02257	0.154790301	0.771284	0.073509324	3
000839	200802	16	.164701935	30716400	.381998	.769066	.103081	0.157690938	0.55019	0.164701935	3
600570	200802	16	.061180206	62467.86	.055378	1.35100	-.04944	0.158292046	0.171955	0.061180206	3
000422	200802	16	.131457403	15457774	.223084	1.15348	.081184	0.159990268	0.680605	0.131457403	4
600100	200802	16	.136725676	28960168	.253948	.866569	.132219	0.160923083	0.568745	0.136725676	4
600120	200802	16	.126244302	5888765.7	.251747	1.67272	.111641	0.161653122	0.523206	0.126244302	4
600839	200802	16	.046986348	17159831	.274328	.738323	-.03830	0.163424981	0.844678	0.046986348	4
600770	200802	16	.112886982	128425.50	.367861	1.14814	.115764	0.163533501	0.783816	0.112886982	4
000050	200802	16	.046191321	60945.74	.201418	.790836	.033766	0.164089903	0.933379	0.046191321	4
600993	200802	16	.053102341	4067994.3	.231434		.064941	0.16621476	0.727255	0.053102341	4
000823	200802	16	.049631348	4558512.6	.219882	.848862	.074766	0.167909106	0.911599	0.049631348	4
