Stkcd,Trdmnt,,Msmvttl,Dturn,Beta,Mretwd
证券代码,月份,,个股总市值,换手率,Beta值,考虑现金红利再投资的月个股回报率
没有单位,没有单位,,千元,没有单位,没有单位,没有单位
000009,2008 ,11 ,4425330.72,1.343321,0.891482,0.139037
000009,2008 ,12 ,4134463.91,0.92616,0.876847,-0.065728
000009,2009 ,1 ,6066650.56,0.895636,0.925543,0.467337
000009,2009 ,2 ,8227375.42,1.272624,0.943616,0.356164
000009,2009 ,3 ,10149173.97,1.170736,0.949813,0.233586
000009,2009 ,4 ,10149173.97,0.781694,0.931197,0
000009,2009 ,5 ,10481593.18,0.605042,0.929854,0.032753
000009,2009 ,6 ,12320286.93,0.744889,0.933194,0.175421
000009,2009 ,7 ,13327932.66,0.737693,0.924674,0.081788
000009,2009 ,8 ,10547557.62,0.374635,0.925489,-0.206835
000009,2009 ,9 ,11202007.93,0.483592,0.916006,0.062048
000009,2009 ,10 ,13645289.12,0.366387,0.922431,0.218111
000009,2009 ,11 ,13765271.68,0.642748,0.898321,0.008793
000009,2009 ,12 ,11976440.81,0.500844,0.90518,-0.129952
000009,2010 ,1 ,11376528.02,0.647777,0.906511,-0.050091
000009,2010 ,2 ,12336388.48,0.534076,0.906179,0.084372
000009,2010 ,3 ,12969023.79,0.545686,0.90716,0.051282
000009,2010 ,4 ,12216405.92,0.589515,0.907615,-0.058032
000009,2010 ,5 ,10743892.71,0.422886,0.916955,-0.120536
000009,2010 ,6 ,9380454.55,0.219416,0.969729,-0.126904
000009,2010 ,7 ,10863875.27,0.338623,0.970779,0.15814
000009,2010 ,8 ,12216405.92,0.413271,0.974778,0.128207
000009,2010 ,9 ,13034468.82,0.563191,0.972384,0.066964
000009,2010 ,10 ,14474259.52,0.556493,0.972168,0.11046
000009,2010 ,11 ,18706371.57,0.9535,0.95842,0.292389
000009,2010 ,12 ,18291886.37,0.589303,0.960781,-0.022157
000009,2011 ,1 ,19371729.4,0.604537,0.948959,0.059034
000009,2011 ,2 ,23865621.57,1.315155,0.979052,0.231982
000009,2011 ,3 ,19840752.12,0.995907,1.007317,-0.168647
000009,2011 ,4 ,19055411.74,0.570975,0.973104,-0.039582
000009,2011 ,5 ,17691973.58,0.422822,0.941109,-0.071551
000009,2011 ,6 ,18782724.11,0.310783,0.924396,0.061652
000009,2011 ,7 ,20920595.15,0.493206,0.925746,0.113821
000009,2011 ,8 ,20637000.01,0.322134,0.962613,-0.012577
000009,2011 ,9 ,17539268.51,0.23348,0.994323,-0.150106
000009,2011 ,10 ,17135690.81,0.173073,0.989142,-0.02301
000009,2011 ,11 ,18510036.48,0.600164,0.998346,0.080204
000009,2011 ,12 ,11889180.77,0.39791,1.030077,-0.35769
000009,2012 ,1 ,14070681.82,0.653067,0.973355,0.183486
000009,2012 ,2 ,13427139.01,0.942307,0.923467,-0.045736
000009,2012 ,3 ,11060210.36,0.65964,0.939883,-0.176279
000009,2012 ,4 ,12129145.88,0.520684,0.990567,0.096647
000009,2012 ,5 ,12478186.05,0.382218,0.964986,0.028777
000009,2012 ,6 ,10907505.29,0.244847,0.921534,-0.125874
000009,2012 ,7 ,8944154.34,0.283461,0.956091,-0.18
000009,2012 ,8 ,9598604.66,0.499714,0.937702,0.073171
000009,2012 ,9 ,9718587.21,0.269226,0.925495,0.0125
000009,2012 ,10 ,9554974.63,0.167437,1.19979,-0.016835
000009,2012 ,11 ,8398779.07,0.184045,1.234156,-0.121005
000009,2012 ,12 ,9598604.66,0.247317,1.254024,0.142857
000009,2013 ,1 ,10591187.64,0.480897,1.159341,0.103409
000009,2013 ,2 ,9936737.32,0.232685,1.10044,-0.061792
000009,2013 ,3 ,10863875.27,0.756102,1.082217,0.093304
000009,2013 ,4 ,10820245.25,0.414226,1.094397,-0.004016
000009,2013 ,5 ,14147034.36,0.866921,1.161549,0.30746
000009,2013 ,6 ,11998255.82,0.528058,1.12996,-0.151889
000009,2013 ,7 ,13083007.22,0.535338,1.164684,0.093222
000009,2013 ,8 ,12443282.03,0.389439,1.120247,-0.048897
000009,2013 ,9 ,12919940.01,0.396868,1.118629,0.038306
000009,2013 ,10 ,12368020.24,0.392275,1.09131,-0.042718
000009,2013 ,11 ,12280214.83,0.256419,1.142191,-0.007099
000009,2013 ,12 ,11853731.37,0.213103,1.156595,-0.034729
000009,2014 ,1 ,11753382.32,0.188573,1.151797,-0.008466
000009,2014 ,2 ,14023779.55,0.547024,1.171356,0.19317
000009,2014 ,3 ,13220987.16,0.560854,1.176933,-0.057245
000009,2014 ,4 ,12618892.87,0.391988,1.184544,-0.045541
000009,2014 ,5 ,12807047.33,0.162788,1.172223,0.014911
000009,2014 ,8 ,19673430.98,0.600304,1.255762,0.540257
000009,2014 ,9 ,20004582.84,0.899881,1.187384,0.016832
000009,2014 ,10 ,19522907.41,0.413717,1.186984,-0.024078
000009,2014 ,11 ,20049739.91,0.448741,1.182332,0.026985
000009,2014 ,12 ,19492802.69,0.759662,1.178981,-0.027778
000009,2015 ,1 ,19673430.98,0.468106,1.137369,0.009266
000009,2015 ,2 ,22819373.65,0.478682,1.154417,0.159908
000024,2008 ,1 ,38285738.79,0.403469,0.47088,-0.002365
000024,2008 ,2 ,33527572.13,0.194686,0.466392,-0.12428
000024,2008 ,3 ,29819573.05,0.384216,0.489036,-0.110596
000024,2008 ,4 ,21974026.8,0.432364,0.475692,-0.225014
000024,2008 ,5 ,16898100.85,0.41774,0.500889,-0.230997
000024,2008 ,6 ,13863680.76,0.223453,0.509358,-0.179572
000024,2008 ,7 ,14420455.09,0.37239,0.509626,0.040161
000024,2008 ,8 ,12610938.52,0.202648,0.519687,-0.125483
000024,2008 ,9 ,12369669.65,0.174451,0.518258,-0.019132
000024,2008 ,10 ,12109841.63,0.304541,0.487126,-0.021005
000024,2008 ,11 ,12249035.21,0.36308,0.466749,0.011494
000024,2008 ,12 ,20675664.7,0.487994,0.463844,0.025239
000024,2009 ,1 ,23953513.99,0.13572,0.480044,0.158537
000024,2009 ,2 ,27058015.47,0.439411,0.486442,0.129605
000024,2009 ,3 ,35252638.67,0.461549,0.504101,0.302854
000024,2009 ,4 ,39964547.02,0.328519,0.522813,0.133661
000024,2009 ,5 ,43809716.37,0.273799,0.50923,0.096215
000024,2009 ,6 ,50033995.63,0.464648,0.509568,0.14625
000024,2009 ,7 ,52303254.01,0.395592,0.525353,0.045354
000024,2009 ,8 ,35614749.64,0.656421,0.59971,-0.319072
000024,2009 ,9 ,39396846.95,0.538875,0.59963,0.106195
000024,2009 ,10 ,44392367.14,0.337925,0.608372,0.1268
000024,2009 ,11 ,48993918.87,0.586249,0.609924,0.103656
000024,2009 ,12 ,41965521.37,0.860236,0.619618,-0.143454
000024,2010 ,1 ,35709302.08,0.771505,0.633878,-0.14908
000024,2010 ,2 ,36292375.41,0.461424,0.633916,0.016328
000024,2010 ,3 ,38104630.37,0.480912,0.642075,0.049935
000024,2010 ,4 ,27845691.42,0.70985,0.681854,-0.269231
000024,2010 ,5 ,24347251.42,0.616207,0.726542,-0.125637
000024,2010 ,6 ,23449003.3,0.356188,0.732227,-0.036893
000024,2010 ,7 ,31139267.83,0.597244,0.764885,0.336049
000024,2010 ,8 ,29925844.94,0.689427,0.760355,-0.038968
000024,2010 ,9 ,27309894.31,0.533555,0.76393,-0.087414
000024,2010 ,10 ,29705222.6,0.722088,0.772464,0.087709
000024,2010 ,11 ,25150724.45,0.631662,0.777868,-0.153316
000024,2010 ,12 ,25134965.85,0.564258,0.769091,-0.000627
000024,2011 ,1 ,25276793.25,0.50231,0.848326,0.005643
000024,2011 ,2 ,25812585.62,0.323402,0.88484,0.021197
000024,2011 ,3 ,27924237.92,0.58692,0.840635,0.081807
000024,2011 ,4 ,28176375.51,0.392952,0.823048,0.009029
000024,2011 ,5 ,25954413.01,0.224626,0.778623,-0.078859
000024,2011 ,6 ,28838819.99,0.303786,0.791156,0.119315
000024,2011 ,7 ,27987838.42,0.238048,0.770095,-0.029508
000024,2011 ,8 ,29941944.26,0.35395,0.723341,0.06982
000024,2011 ,9 ,26380428.78,0.19349,0.726129,-0.118947
000024,2011 ,10 ,27814490.32,0.157975,0.783282,0.054361
000024,2011 ,11 ,25765830.98,0.160107,0.738951,-0.073654
000024,2011 ,12 ,28366052.45,0.207021,0.722478,0.100917
000024,2012 ,1 ,29043685.93,0.175757,0.728087,0.023889
000024,2012 ,2 ,31911809.01,0.295945,0.749031,0.098752
000024,2012 ,3 ,32305781.96,0.310911,0.749863,0.012346
000024,2012 ,4 ,35961850.94,0.256593,0.740691,0.113171
000024,2012 ,5 ,39712473.44,0.262251,0.726001,0.113421
000024,2012 ,6 ,38656625.93,0.231554,0.721841,-0.026587
000024,2012 ,7 ,36813202.19,0.270514,0.723636,-0.047697
000024,2012 ,8 ,30415017.22,0.328002,0.74254,-0.173801
000024,2012 ,9 ,32778878.66,0.270022,0.754054,0.07772
000024,2012 ,10 ,35773103.16,0.208948,0.871546,0.091346
000024,2012 ,11 ,37585396.93,0.258639,0.885287,0.050661
000024,2012 ,12 ,47103926.08,0.446834,0.940334,0.253249
000024,2013 ,1 ,45039485.02,0.54107,0.921211,-0.043827
000024,2013 ,2 ,44204253.14,0.492308,0.905505,-0.018544
000024,2013 ,3 ,37175698.1,0.515165,0.859678,-0.159002
000024,2013 ,4 ,40059611.94,0.308555,0.832605,0.077575
000024,2013 ,5 ,45071003.21,0.383904,0.832154,0.136509
000024,2013 ,6 ,38263075.45,0.387435,0.822383,-0.151049
000024,2013 ,7 ,42407716.65,0.590729,0.860871,0.10832
000024,2013 ,8 ,44440639.52,0.086859,0.763153,0.047938
000024,2013 ,9 ,37821820.87,0.259868,0.731378,-0.148936
000024,2013 ,10 ,38767366.39,0.43408,0.714078,0.025
000024,2013 ,11 ,34559688.82,0.372872,0.675112,-0.108537
000024,2013 ,12 ,32744161.95,0.391394,0.691734,-0.05244
000024,2014 ,1 ,29151443.51,0.390476,0.667022,-0.109721
000024,2014 ,2 ,24959938.66,0.383151,0.647062,-0.143784
